nctid,restart_date,restart_status
NCT02730962,NA,NA
NCT03054870,NA,NA
NCT03176498,NA,NA
NCT03180450,NA,NA
NCT03180463,NA,NA
NCT03184935,NA,NA
NCT03186456,NA,NA
NCT03816852,NA,NA
NCT04138485,NA,NA
NCT04250740,2023-11-23,RECRUITING
NCT04364009,NA,NA
NCT03601247,NA,NA
NCT03605589,NA,NA
NCT03937791,NA,NA
NCT04034381,NA,NA
NCT04342897,NA,NA
NCT04613102,NA,NA
NCT02747238,NA,NA
NCT03493412,NA,NA
NCT03974152,NA,NA
NCT03948334,NA,NA
NCT04164758,NA,NA
NCT04231409,NA,NA
NCT01822275,NA,NA
NCT01922895,NA,NA
NCT01925573,NA,NA
NCT02754466,NA,NA
NCT02765737,NA,NA
NCT03168490,NA,NA
NCT03503435,NA,NA
NCT03847324,2023-05-10,COMPLETED
NCT03889158,NA,NA
NCT03924622,NA,NA
NCT04010136,NA,NA
NCT04141904,NA,NA
NCT02555384,NA,NA
NCT02573519,NA,NA
NCT03229850,NA,NA
NCT03246620,NA,NA
NCT03839472,NA,NA
NCT04154059,NA,NA
NCT04232501,NA,NA
NCT04620421,NA,NA
NCT03537131,NA,NA
NCT03743571,NA,NA
NCT03892525,NA,NA
NCT03917433,NA,NA
NCT01745224,NA,NA
NCT01998035,NA,NA
NCT02004353,NA,NA
NCT02790034,NA,NA
NCT02867618,NA,NA
NCT03857659,NA,NA
NCT03922711,NA,NA
NCT04042077,NA,NA
NCT02230527,NA,NA
NCT03143894,NA,NA
NCT04274907,NA,NA
NCT02782403,NA,NA
NCT03100006,NA,NA
NCT03578731,NA,NA
NCT04028960,NA,NA
NCT04366232,NA,NA
NCT04628819,NA,NA
NCT01743976,NA,NA
NCT02112643,NA,NA
NCT02691455,NA,NA
NCT02906124,NA,NA
NCT03381196,NA,NA
NCT03685344,NA,NA
NCT04499352,NA,NA
NCT02234557,2023-11-08,COMPLETED
NCT02563561,NA,NA
NCT02589860,NA,NA
NCT02844933,NA,NA
NCT03336242,NA,NA
NCT03355300,NA,NA
NCT03421496,NA,NA
NCT03434509,2022-12-02,ACTIVE_NOT_RECRUITING
NCT03458416,NA,NA
NCT03490942,NA,NA
